Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;00929;Büchen;Bahnsteig 1 Gl. 1;10474229;Aufzug Gl 1 neu;21514;Büchen;GLEIS 1;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,3;;1400,0;;;;;;zu Gleis 1;;;;10,6228453;53,4753816;;
;;;Bahnsteig 2 Gl. 4;10474209;Auzug Gleis 4 neu;21514;Büchen;GLEIS 4; ;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,3;;1400,0;;;;;;zu Gleis 4;;;;10,6231809;53,4755724;;
;01558;Elmshorn;Bahnsteig 02;10357726;Personenaufzug Bstg Gl.2/3;25335;Elmshorn;BSTG. GL.2/3 - 47KAH897;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;;TUNNEL ZUM MITTELBSTG GL.2/3;1400,0;;;;;;zu Gleis 2/3;;;;9,6591134;53,7546695;;
;01810;Flensburg;Bahnsteig 1   Gleis 4-5;10441825;Aufzug Gleis 4/5;24937;Flensburg;GLEIS 4/5;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,45;;1425,0;;;;;;zu Gleis 4/5;;;;9,4374409;54,7740383;;
;;;Bahnsteig 3   Gleis 1-2;10441824;Aufzug Gleis 1/2;24937;Flensburg;GLEIS 1/2;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,45;;1425,0;;;;;;zu Gleis 1/2;;;;9,437160544;54,77374829;;
;02509;Halstenbek;S-Bahnsteig;10447007;Personenaufzug HA 174;25469;Halstenbek;S-BAHNSTEIG;ThyssenKrupp Aufzüge GmbH;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,07;AUSSEN;1050,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,8379705;53,6309724;;
;02625;Heide (Holst);Bahnsteig 2 Mittel (Neu) Gleis 2,3,4;10463376;Aufzug Mitte;25746;Heide;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;;;;;;;;;;zu Gleis 2/3/4;;;;9,1010188;54,1936367;;
;02953;Husum;Bahnsteig 1, Gl. 1-3;10353102;Personenaufzug  Tun/Bstg.1 Gl.1/3 HA4174;25813;Husum;TUNNEL/BSTG.2 GL.1/3 HA4174;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,53;;1000,0;;;;;;zu Gleis 1/3;;;;9,0549103;54,4722615;;
;;;Bahnsteig 2, Gl. 4-5;10353100;Personenaufzug  Tun/Bstg.2 Gl.4/5 HA4175;25813;Husum;TUNNEL/BSTG.3 GL.4/5 HA4175;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,53;;1000,0;;;;;;zu Gleis 4/5;;;;9,0548732;54,472088;;
;03016;Itzehoe;Bahnsteig 01 Gl. 2/3;10467301;Personenaufzug Bstg 2/3 Neu;25524;Itzehoe;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,600000000000001;;1450,0;;;;;;zu Gleis 2/3;;;;9,510399081;53,92393493;;
;;;Bahnsteig 02 Gl. 4/5;10467302;Personenaufzug Bstg 4/5 Neu;25524;Itzehoe;; ;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,600000000000001;;1450,0;;;;;;zu Gleis 4/5;;;;9,510183295;53,92387901;;
;;;Empfangshalle;10467300;Personenaufzug Halle Hausbstg Neu;25524;Itzehoe;AUF HAUSBAHNSTEIG;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,600000000000001;;1450,0;;;;;;von EG zu Tunnel;;;;9,510496006;53,92410237;;
;03150;Keitum;Bahnsteig 01;10319860;Personenaufzug Tunnel/Bstg.1 HA4003;25980;Sylt/ OT Keitum;TUNNEL/BSTG.1 HA4003;Thyssen Krupp;2005;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,68;NEBEN;1050,0;;;;;;zu Gleis 1;;;;8,370472;54,8883996;;
;03174;Kiel Hbf;Empfangsgebäude;10309360;Personenaufzug Verkehrsstation HA0106;24114;Kiel;VERKEHRSSTATION HA0106;Rud. Prey GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,65;3,65;;630,0;;;;;;von EG zu Empfangshalle;;;;10,13212;54,31535;;
;;;;10309362;Personenaufzug Ostflügel zur RB HA0107;24114;Kiel;OSTFLÜGEL ZUR RB (HA0107);Rud. Prey GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;4,0;1,0;4,0;0,81;12,56;;1250,0;;;;;;Verwaltungsgebäude;;;;10,13251;54,3151;;
;;;;10314789;Personenaufzug Westfl zur 3-S  A5 HA0105;24114;Kiel;WESTFLÜGEL ZUR 3-S Z. (HA0105);Rud. Prey GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;4,0;1,0;4,0;0,81;12,210000000000001;;1000,0;;;;;;Verwaltungsgebäude;;;;10,13148;54,31531;;
;03443;Krupunder;S-Bahnsteig Gleis 1/2;10474998;Personenaufzug HA 1209;25469;Halstenbek;S-BAHNSTEIG;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,68;;1325,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,8671503;53,6161408;;
;03807;Lübeck Hbf;Bahnsteig 1 Gl. 1/2;10039760;Aufzug HA 153;23558;Lübeck;BSTG 1;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,71;OBEN;1825,0;;;;;;zu Gleis 1/2;;;;10,6701326;53,8673328;;
;;;Bahnsteig 2 Gl. 4/5;10039761;Personenaufzug HA 154;23558;Lübeck;BSTG 2;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,71;OBEN;1825,0;;;;;;zu Gleis 4/5;;;;10,6699413;53,8675129;;
;;;Bahnsteig 3 Gl. 6/7;10039762;Personenaufzug HA 155;23558;Lübeck;BSTG 3;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,71;OBEN;1825,0;;;;;;zu Gleis 6/7;;;;10,6697661;53,8676746;;
;;;Bahnsteig 4 Gl. 8/9;10039759;Personenaufzug HA 156;23558;Lübeck;BSTG 4;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,71;OBEN;1825,0;;;;;;zu Gleis 8/9;;;;10,6696041;53,8678298;;
;03808;Lübeck-Flughafen;Bahnsteig 01;10436024;Personenaufzug;23562;Lübeck;BSTG;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,2;AUßEN;1350,0;;;;;;zu Gleis 1;;;;10,6973677;53,8041375;;
;04420;Neumünster;Bahnsteig 01 Gl. 1/2;10448877;Personenaufzug Bstg.1 HA4110 Neu;24534;Neumünster;;ThyssenKrupp Aufzüge GmbH;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,71;;1325,0;;;;;;zu Gleis 1/2;;;;9,9803284;54,0763144;;
;;;Bahnsteig 02 Gl. 3/4;10448878;Personenaufzug Bstg.2 HA4021 Neu;24534;Neumünster;;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,71;;1325,0;;;;;;zu Gleis 3/4 Abschnitt E;;;;9,9801067;54,0763556;;
;;;Bahnsteig 03 Gl. 5/6;10448880;Personenaufzug Bstg.3 HA4022 Neu;24534;Neumünster;;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,71;;1325,0;;;;;;zu Gleis 5/6 Abschnitt C;;;;9,9798685;54,0764005;;
;;;Empfangsgebäude;10046359;Personenaufzug Verwaltungsgeb. HA4117;24534;Neumünster;VERWALTUNGSGEB. HA4117;Rud. Prey GmbH & Co. KG;1975;Personenaufzüge;SEIL;6,0;1,0;6,0;0,8;18,289999999999999;EG TURM;600,0;;;;;;Verwaltungsgebäude;;;;9,98067;54,07624;;
;04472;Niebüll;Bahnsteig 01 Gl. 1/2;10462233;Personenaufzug HA 200;25899;Niebüll;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;5,600000000000001;;1375,0;;;;;;zu Gleis 1/2;;;;8,834652039;54,78952062;;
;;;Bahnsteig 02 Gl. 3/4;10462229;Personenaufzug HA 201;25899;Niebüll;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;5,600000000000001;;1375,0;;;;;;zu Gleis 3/4;;;;8,834899751;54,78952482;;
;;;Personenunterführung 01;10462234;Personenaufzug HA 202;25899;Niebüll;; ;2012;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;5,600000000000001;;1375,0;;;;;;von EG zu Tunnel;;;;8,834505385;54,78949762;;
;05200;Reinbek;S-Bahnsteig;10355320;Personenaufzug HA 0036 (Bstg.);21465;Reinbek;AUFZUG ZUM BSTG;Lutz Aufzüge;2006;Personenaufzüge;SEIL;2,0;1,0;2,0;0,63;4,86;AUßEN;1050,0;;900,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,2528721;53,5082694;;
;;;Tunnel/Zugangsbereich;10355317;Personenaufzug HA 037 Sophienstraße;21465;Reinbek;AUFZUG ZUR STRAßE;Lutz Aufzüge;2006;Personenaufzüge;SEIL;2,0;1,0;2,0;0,63;2,95;AUßEN;1050,0;;900,0;2100,0;1100,0;2200,0;von EG zu Tunnel;2100,0;10896;;10,2529044;53,5083971;;
;05201;Reinfeld (Holst);Bahnsteig 01;10544690;Personenaufzug Bstg. zur PÜ Neubau 2;23858;Reinfeld (Holstein);;Schindler;2017;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;;;;;10.494062;53.830294;;
;;;Bahnsteigsbereich;10544689;Personenaufzug Vorplatz zur PÜ;23858;Reinfeld (Holstein);;Schindler;2017;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;;;;;10.493907;53.830378;;
;05223;Rendsburg;Bahnsteig 01;10053351;Personenaufzug Tun/Bstg.1 Gl.1/2 HA4183;24768;Rendsburg;TUNNEL/BSTG.1 GL.1/2 HA4183;Rud. Prey GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,4;4,4;NEBEN;1200,0;;;;;;zu Gleis 1/2;;;;9,67042672;54,30272841;;
;;;Bahnsteig 02;10053352;Personenaufzug Tun/Bstg.2 Gl.3/4 HA4184;24768;Rendsburg;TUNNEL/BSTG.2 GL.3/4 HA4184;Rud. Prey GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,4;4,4;NEBEN;1200,0;;;;;;zu Gleis 3/4;;;;9,670615481;54,30280752;;
;05726;Schwarzenbek;Bahnsteig 01 Gl. 1;10347978;Personenaufzug Bstg 1;21493;Schwarzenbek;TUNNEL/BSTG. 1;Thyssen Krupp;2002;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,42;AUßEN;1050,0;;;;;;zu Gleis 1;;;;10,48378733;53,5039196;;
;;;Bahnsteig 02 Gl. 4/5;10347979;Personenaufzug Bstg 2;21493;Schwarzenbek;TUNNEL/BSTG. 2;Thyssen Krupp;2002;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,4;AUßEN;1050,0;;;;;;zu Gleis 4/5;;;;10,48392045;53,50413459;;
;;;P&R Platz;10347981;Personenaufzug P&R;21493;Schwarzenbek;TUNNEL/AUFZUG P&R;Thyssen Krupp;2002;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,17;AUßEN;1050,0;;;;;;von EG zu Tunnel;;;;10,48409967;53,50424424;;
;06197;Thesdorf;S-Bahnsteig;10451154;Personenaufzug HA 175;25421;Pinneberg;S-BAHNSTEIG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;;;1,0;5,86;AUSSEN;1425,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2000,0;281109046;;9,81347;53,6446186;;
;06845;Wohltorf;S-Bahnsteig Gleis 1/2;10222273;Personenaufzug HA 131;21521;Wohltorf;TUNNEL/BSTG;Thyssen Krupp;2002;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,7;;1050,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,2779104;53,5205516;;
;06897;Wrist;Bahnsteig 02  Gleis 2/3;10499957;Personenaufzug Gl.2/3;25563;Wrist;;Schindler;2016;Personenaufzüge;SEIL;2,0;1,0;2,0;;;;;;;;;;zu Gleis 2/3;;;;9,7477308;53,9320314;;
02;00078;Alte Wöhr;S-Bahnsteig Gleis 1/2;10458729;Personenaufzug HA 074;22307;Hamburg;BSTGAUSGANG;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,41;AUßEN;1000,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281010062;;10,0355368;53,597362;;
;00376;Bahrenfeld;S-Bahnsteig Gleis 1/2;10458730;Personenaufzug HA 180;22761;Hamburg;MITTELAUSGANG HEGARSTRAßE;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,2;AUßEN;1050,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281010060;;9,9116045;53,5600664;;
;00412;Barmbek;S-Bahnsteig Gleis 1/5;10499916;Personenaufzug  HA 1702;22305;Hamburg;SCHALTERHALLE WEST/BAHNSTEIG;ThyssenKrupp Aufzüge GmbH;2017;Personenaufzüge;SEIL;3,0;2,0;3,0;0,5;6,84;;1500,0;;1000,0;2100,0;1500,0;2000,0;zu Gleis 1/5 (S-Bahn);2100,0;281016032;;10,0441287;53,5876292;;
;00687;Blankenese;S-Bahnsteig 01 (Gl.1);10501508;Personenaufzug HA 1701  Gleis 1;22587;Hamburg;;Schindler;2017;Personenaufzüge;SEIL;2,0;;;1,0;4,38;;1050,0;;1000,0;2100,0;1000,0;2100,0;zu Gleis 1 (S-Bahn);2100,0;10910812;;9,814143;53,564153;;
;;;S-Bahnsteig 02 (Gl.2/3);10448019;Personenaufzug HA 024   Gleis 2/3;22587;Hamburg;S-BAHNSTEIGE 2/3;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,36;AUSSEN;900,0;;900,0;1800,0;1100,0;2200,0;zu Gleis 2/3 (S-Bahn);2100,0;281010006;;9,8143344;53,5643081;;
;01511;Eidelstedt;S-Bahnsteig (Gleis 1/2);10314620;Personenaufzug HA 110;22525;Hamburg;ZUGANGSBEREICH;OTIS GmbH & Co. OHG;2005;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;1,0;6,47;;1050,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,906098375;53,59630394;;
;01542;Elbgaustraße;S-Bahnsteig (Gleis 1/2);10352932;Personenaufzug HA 160;22523;Hamburg;AUSGANG;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,8;AUSSN;1025,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,8927266;53,6030506;;
;01941;Friedrichsberg;S-Bahnsteig (Gleis 1/2);10458728;Personenaufzug HA 073;22049;Hamburg;BSTGAUSGANG;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,26;AUßEN;1000,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281010061;;10,0574187;53,576088;;
;02458;Hamburg Airport (Flughafen);S-Bahnsteig Gleis 1/2;10355921;Aufzug HA 205 A2 zum Vorplatz Süd T2;22335;Hamburg;VOM BSTG ZUM VORPLATZ SÜD;Thyssen Krupp;2008;Personenaufzüge;SEIL;4,0;2,0;4,0;1,0;20,278000000000002;OBEN;5500,0;;1250,0;5080,0;2250,0;2300,0;zu Gleis 3/4 (S-Bahn);2100,0;;;10,0067125;53,6323657;;
;;;;10360024;Aufzug HA 207 A3 zum Vorplatz Nord T1;22335;Hamburg;VOM BSTG ZUM VORPLATZ NORD;Thyssen Krupp;2008;Personenaufzüge;SEIL;4,0;2,0;4,0;1,0;20,685000000000002;OBEN;5500,0;;1250,0;5080,0;2020,0;2300,0;zu Gleis 3/4 (S-Bahn);2100,0;;;10,0066382;53,6329646;;
;;;Treppe /Ausgang zum Terminal 2;10360023;Aufzug HA 208 A1 zum Terminal 2;22335;Hamburg;ZUM TERMINAL 2;Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,98;NEBEN;4000,0;;1300,0;3440,0;2100,0;2300,0;zu Terminal 1;2100,0;;;10,0064;53,631879;;
;;;Zwischenebene Schalterhalle Nord T1;10360025;Aufzug HA 209 A4 zum Terminal 1;22335;Hamburg;ZUM TERMINAL 1;Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;8,575000000000001;NEBEN;4000,0;;1300,0;3440,0;2100,0;2300,0;zu Terminal 2;2100,0;;;10,0062;53,633418;;
;02513;Hamburg Dammtor;Fernbahnsteig, Gl. 3/4;10467959;Personenaufzug HA 127 (Gleis 3/4 Fernb.);20354;Hamburg;FERNBAHNSTEIG GL 3/4;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;;;1,0;9,52;;900,0;;1000,0;1600,0;1200,0;2250,0;zu Gleis 3/4 Abschnitt A;2100,0;;;9,9898759;53,5605071;;
;;;S-Bahnsteig, Gl.1/2;10467958;Personenaufzug HA 126 (Gleis 1/2 S-Bahn);20354;Hamburg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,63;;900,0;;1000,0;1600,0;1200,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281010052;;9,9900654;53,5605963;;
;02514;Hamburg Hbf;Ersatzgebäude (Ecke Südsteg u Keksdose);10027870;Personenaufzug HA 010   (Keksdose);20099;Hamburg;VERWALTUNGSGEBÄUDE;Thyssen Krupp;2009;Personenaufzüge;SEIL;6,0;1,0;6,0;1,0;22,050000000000001;INTEGRIERT;1000,0;;800,0;2100,0;1100,0;2200,0;Nicht Reisendenrelevant;2000,0;;;10,00824;53,55248;;
;;;Fernbahnsteig 3, Gl. 5/6;10028022;Personenaufzug HA 016;20099;Hamburg;"FERNBAHNSTEIG 3; GL. 5/6";OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,53;INTEGRIERT;1350,0;;900,0;1250,0;1400,0;2100,0;zu Gleis 5/6 Abschnitt D;2000,0;47KAE858;;10,0069358;53,5533422;;
;;;Fernbahnsteig 4, Gl. 7/8;10028028;Personenaufzug HA 017;20099;Hamburg;"BAHNSTEIG 4; NORDSEITE";OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;3,0;1,0;3,0;1,0;9,42;INTEGRIERT;1350,0;;900,0;2100,0;1400,0;2100,0;zu Gleis 7/8 Abschnitt E;2000,0;;;10,0064736;53,5535736;;
;;;Fernbahnsteig 5, Gl. 11/12;10028029;Personenaufzug HA 018;20099;Hamburg;"BAHNSTEIG 5; NORDSEITE";OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;3,0;1,0;3,0;1,0;9,41;INTEGRIERT;1400,0;;900,0;2100,0;1400,0;2100,0;zu Gleis 11/12 Abschnitt E;2000,0;;;10,0061578;53,5531808;;
;;;Fernbahnsteig 6, Gl. 13/14;10028019;Personenaufzug HA 019;20099;Hamburg;"NORDSTEG; BAHNSTEIG 6";OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,45;INTEGRIERT;1350,0;;900,0;2100,0;1400,0;2100,0;zu Gleis 13/14 Abschnitt E;2000,0;47KAE862;;10,0058804;53,5531197;;
;;;S-Bahnsteig 2, Gl. 3/4;10028021;Personenaufzug HA 012   Bstg.2;20099;Hamburg;"BAHNSTEIG 2; WANDELHALLE";Brobeil Aufzüge GmbH & Co. KG;2004;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,45;5,2;INTEGRIERT;750,0;;900,0;1535,0;1100,0;2200,0;zu Gleis 3/4 (S-Bahn);2100,0;046953;;10,0073242;53,553147;;
;;;S-Bahnsteig 01, Gl. 1/2;10028020;Personenaufzug HA 011;20099;Hamburg;"BAHNSTEIG 1; AUSGANG POST";Brobeil Aufzüge GmbH & Co. KG;2004;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;0,45;4,61;INTEGRIERT;825,0;;900,0;1650,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;046952;;10,0077828;53,5532639;;
;;;Vorraum+Treppenraum DB Lounge HA13;10276624;Personenaufzug HA 013;20099;Hamburg;DB LOUNGE, WHO;Thyssen Krupp;1984;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,54;3,77;INTEGRIERT;630,0;;900,0;1400,0;1100,0;2280,0;DB Lounge;2000,0;;;10,0072376;53,5534809;;
;02515;Holstenstraße;S-Bahnsteig;10441633;Personenaufzug HA 125;22765;Hamburg;EG, ZUGANG BAHNSTEIG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,41;;675,0;;1000,0;1400,0;1100,0;2100,0;zu Gleis 1/2 (S-Bahn);2100,0;281009061;;9,94873;53,56198;;
;02516;Sternschanze;S-Bahnsteig;10421888;Personenaufzug HA 79;20357;Hamburg;EG BSTGZUGANG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,9;AUßEN;900,0;;1000,0;1700,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,965755;53,5637536;;
;02517;Hamburg-Altona;Hamburg-Altona;10561629;Aufzug Gl.1/2 - Neubau 19;22765;Hamburg;; ;2021;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,0;;;;;;;;;;;;;;;
;;;;10561630;Aufzug Gl.3/4 - Neubau 20;22765;Hamburg;; ;2023;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;;10561631;Aufzug Gl.5/6 - Neubau 21;22765;Hamburg;; ;2024;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;;10561632;Aufzug Gl.7/8 - Neubau 22;22765;Hamburg;; ;2022;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
